Date,Open,High,Low,Close,Adj Close,Volume
2018-04-13,3.290000,3.360000,3.250000,3.340000,3.340000,295400
2018-04-16,3.370000,3.410000,3.260000,3.340000,3.340000,217200
2018-04-17,3.350000,3.450000,3.330000,3.440000,3.440000,374800
2018-04-18,3.460000,3.490000,3.350000,3.420000,3.420000,228300
2018-04-19,3.400000,3.440000,3.290000,3.330000,3.330000,288000
2018-04-20,3.330000,3.330000,3.160000,3.210000,3.210000,315700
2018-04-23,3.200000,3.250000,3.150000,3.200000,3.200000,186700
2018-04-24,3.200000,3.250000,3.100000,3.150000,3.150000,418800
2018-04-25,3.150000,3.180000,3.080000,3.170000,3.170000,270000
2018-04-26,3.200000,3.240000,3.160000,3.200000,3.200000,249700
2018-04-27,3.210000,3.360000,3.160000,3.330000,3.330000,316400
2018-04-30,3.340000,3.350000,3.290000,3.310000,3.310000,244100
2018-05-01,3.290000,3.330000,3.240000,3.330000,3.330000,231800
2018-05-02,3.330000,3.450000,3.330000,3.380000,3.380000,257300
2018-05-03,3.380000,3.410000,3.300000,3.360000,3.360000,198300
2018-05-04,3.350000,3.440000,3.250000,3.360000,3.360000,342700
2018-05-07,3.400000,3.430000,3.310000,3.320000,3.320000,271100
2018-05-08,3.330000,3.330000,3.110000,3.190000,3.190000,462400
2018-05-09,3.180000,3.390000,3.140000,3.390000,3.390000,515500
2018-05-10,3.410000,3.450000,3.360000,3.400000,3.400000,373500
2018-05-11,3.330000,3.340000,3.230000,3.330000,3.330000,359800
2018-05-14,3.330000,3.380000,3.220000,3.220000,3.220000,192400
2018-05-15,3.210000,3.250000,3.150000,3.210000,3.210000,252600
2018-05-16,3.220000,3.310000,3.200000,3.280000,3.280000,251400
2018-05-17,3.290000,3.350000,3.260000,3.310000,3.310000,186400
2018-05-18,3.330000,3.370000,3.270000,3.330000,3.330000,339800
2018-05-21,3.350000,3.420000,3.290000,3.340000,3.340000,163800
2018-05-22,3.340000,3.360000,3.280000,3.290000,3.290000,157000
2018-05-23,3.300000,3.370000,3.210000,3.320000,3.320000,184600
2018-05-24,3.320000,3.350000,3.270000,3.310000,3.310000,194900
2018-05-25,3.300000,3.360000,3.290000,3.340000,3.340000,101100
2018-05-29,3.320000,3.440000,3.320000,3.410000,3.410000,508800
2018-05-30,3.430000,3.500000,3.410000,3.430000,3.430000,441800
2018-05-31,3.440000,3.660000,3.440000,3.530000,3.530000,688100
2018-06-01,3.560000,3.650000,3.540000,3.630000,3.630000,431900
2018-06-04,3.640000,3.650000,3.570000,3.640000,3.640000,268500
2018-06-05,3.640000,3.810000,3.600000,3.650000,3.650000,547900
2018-06-06,3.660000,3.680000,3.540000,3.600000,3.600000,265500
2018-06-07,3.590000,3.600000,3.460000,3.500000,3.500000,242300
2018-06-08,3.510000,3.520000,3.410000,3.480000,3.480000,215400
2018-06-11,3.490000,3.570000,3.410000,3.560000,3.560000,618800
2018-06-12,3.570000,3.690000,3.540000,3.640000,3.640000,552300
2018-06-13,3.610000,3.700000,3.580000,3.590000,3.590000,407400
2018-06-14,3.610000,3.650000,3.560000,3.580000,3.580000,293700
2018-06-15,3.550000,3.590000,3.400000,3.440000,3.440000,646500
2018-06-18,3.420000,3.480000,3.340000,3.420000,3.420000,312400
2018-06-19,3.390000,3.410000,3.250000,3.360000,3.360000,406600
2018-06-20,3.380000,3.430000,3.270000,3.280000,3.280000,916100
2018-06-21,3.290000,3.290000,3.180000,3.190000,3.190000,384300
2018-06-22,3.200000,3.230000,3.120000,3.190000,3.190000,1158700
2018-06-25,3.170000,3.170000,2.950000,2.960000,2.960000,773500
2018-06-26,3.000000,3.040000,2.970000,2.990000,2.990000,535700
2018-06-27,3.000000,3.030000,2.860000,2.890000,2.890000,757200
2018-06-28,2.860000,2.930000,2.840000,2.910000,2.910000,527800
2018-06-29,2.920000,2.940000,2.850000,2.860000,2.860000,272900
2018-07-02,2.870000,2.920000,2.810000,2.920000,2.920000,338500
2018-07-03,2.930000,2.980000,2.890000,2.940000,2.940000,181000
2018-07-05,2.950000,3.040000,2.920000,3.020000,3.020000,268600
2018-07-06,3.030000,3.070000,2.970000,3.020000,3.020000,199300
2018-07-09,3.020000,3.060000,2.930000,3.010000,3.010000,307900
2018-07-10,3.010000,3.080000,2.970000,3.010000,3.010000,394200
2018-07-11,3.010000,3.040000,2.990000,3.000000,3.000000,372800
2018-07-12,3.010000,3.090000,3.000000,3.060000,3.060000,185000
2018-07-13,3.060000,3.100000,3.030000,3.040000,3.040000,149800
2018-07-16,3.040000,3.050000,3.000000,3.020000,3.020000,168600
2018-07-17,3.000000,3.080000,3.000000,3.040000,3.040000,161500
2018-07-18,3.040000,3.070000,3.010000,3.030000,3.030000,138200
2018-07-19,3.030000,3.130000,3.010000,3.110000,3.110000,276000
2018-07-20,3.110000,3.150000,3.070000,3.110000,3.110000,155500
2018-07-23,3.110000,3.110000,3.010000,3.060000,3.060000,210500
2018-07-24,3.080000,3.120000,3.050000,3.060000,3.060000,221800
2018-07-25,3.060000,3.110000,3.010000,3.080000,3.080000,212500
2018-07-26,3.090000,3.150000,3.050000,3.120000,3.120000,216300
2018-07-27,3.100000,3.130000,2.980000,3.040000,3.040000,252800
2018-07-30,3.070000,3.110000,2.990000,3.000000,3.000000,230700
2018-07-31,3.020000,3.090000,3.000000,3.060000,3.060000,336300
2018-08-01,3.070000,3.080000,3.020000,3.060000,3.060000,274100
2018-08-02,3.040000,3.110000,3.000000,3.030000,3.030000,439200
2018-08-03,3.000000,3.060000,3.000000,3.040000,3.040000,311600
2018-08-06,2.900000,2.900000,2.350000,2.410000,2.410000,1541100
2018-08-07,2.410000,2.470000,2.220000,2.250000,2.250000,1262000
2018-08-08,2.270000,2.430000,2.210000,2.340000,2.340000,545400
2018-08-09,2.360000,2.460000,2.310000,2.320000,2.320000,313200
2018-08-10,2.310000,2.330000,2.270000,2.280000,2.280000,231600
2018-08-13,2.280000,2.340000,2.230000,2.320000,2.320000,331200
2018-08-14,2.330000,2.340000,2.250000,2.330000,2.330000,332400
2018-08-15,2.320000,2.320000,2.190000,2.230000,2.230000,310700
2018-08-16,2.250000,2.280000,2.190000,2.250000,2.250000,151800
2018-08-17,2.260000,2.260000,2.150000,2.170000,2.170000,248500
2018-08-20,2.180000,2.190000,2.120000,2.150000,2.150000,334400
2018-08-21,2.160000,2.210000,2.150000,2.190000,2.190000,354500
2018-08-22,2.200000,2.260000,2.150000,2.250000,2.250000,268300
2018-08-23,2.250000,2.290000,2.200000,2.230000,2.230000,230600
2018-08-24,2.260000,2.320000,2.230000,2.280000,2.280000,260600
2018-08-27,2.280000,2.340000,2.280000,2.290000,2.290000,212500
2018-08-28,2.290000,2.310000,2.250000,2.250000,2.250000,154600
2018-08-29,2.250000,2.300000,2.230000,2.290000,2.290000,140600
2018-08-30,2.290000,2.320000,2.280000,2.310000,2.310000,154400
2018-08-31,2.300000,2.330000,2.280000,2.320000,2.320000,190500
2018-09-04,2.330000,2.330000,2.250000,2.280000,2.280000,270500
2018-09-05,2.270000,2.280000,2.200000,2.200000,2.200000,209700
2018-09-06,2.200000,2.200000,2.110000,2.120000,2.120000,268600
2018-09-07,2.120000,2.150000,2.060000,2.090000,2.090000,297800
2018-09-10,2.090000,2.130000,2.080000,2.120000,2.120000,146600
2018-09-11,2.120000,2.150000,2.080000,2.100000,2.100000,335800
2018-09-12,2.100000,2.120000,1.960000,2.010000,2.010000,587600
2018-09-13,2.020000,2.080000,1.980000,2.010000,2.010000,402500
2018-09-14,2.000000,2.050000,1.970000,1.980000,1.980000,434900
2018-09-17,1.950000,2.160000,1.950000,2.130000,2.130000,340400
2018-09-18,2.130000,2.140000,2.070000,2.100000,2.100000,224500
2018-09-19,2.120000,2.140000,2.080000,2.130000,2.130000,228900
2018-09-20,2.140000,2.250000,2.120000,2.220000,2.220000,366300
2018-09-21,2.200000,2.420000,2.160000,2.410000,2.410000,1005900
2018-09-24,2.350000,2.400000,2.200000,2.250000,2.250000,344100
2018-09-25,2.280000,2.420000,2.230000,2.400000,2.400000,420800
2018-09-26,2.410000,2.410000,2.310000,2.360000,2.360000,225700
2018-09-27,2.340000,2.400000,2.330000,2.390000,2.390000,181400
2018-09-28,2.390000,2.450000,2.340000,2.420000,2.420000,299600
2018-10-01,2.450000,2.450000,2.270000,2.280000,2.280000,331500
2018-10-02,2.280000,2.420000,2.250000,2.270000,2.270000,247700
2018-10-03,2.260000,2.350000,2.210000,2.240000,2.240000,203100
2018-10-04,2.240000,2.300000,2.200000,2.210000,2.210000,154800
2018-10-05,2.220000,2.250000,2.130000,2.180000,2.180000,189200
2018-10-08,2.180000,2.230000,2.140000,2.190000,2.190000,142200
2018-10-09,2.210000,2.260000,2.150000,2.220000,2.220000,236900
2018-10-10,2.210000,2.300000,2.130000,2.190000,2.190000,344300
2018-10-11,2.180000,2.240000,2.080000,2.080000,2.080000,185100
2018-10-12,2.130000,2.190000,2.040000,2.060000,2.060000,146400
2018-10-15,2.060000,2.180000,2.040000,2.110000,2.110000,163800
2018-10-16,2.130000,2.250000,2.070000,2.180000,2.180000,174500
2018-10-17,2.160000,2.240000,2.100000,2.210000,2.210000,100400
2018-10-18,2.180000,2.190000,2.100000,2.160000,2.160000,161100
2018-10-19,2.160000,2.240000,2.090000,2.120000,2.120000,141100
2018-10-22,2.140000,2.240000,2.090000,2.180000,2.180000,151600
2018-10-23,2.160000,2.210000,2.100000,2.170000,2.170000,88100
2018-10-24,2.170000,2.200000,2.050000,2.050000,2.050000,145100
2018-10-25,2.100000,2.250000,2.080000,2.230000,2.230000,233100
2018-10-26,2.180000,2.250000,2.050000,2.160000,2.160000,336500
2018-10-29,2.190000,2.260000,2.130000,2.230000,2.230000,345900
2018-10-30,2.220000,2.280000,2.190000,2.240000,2.240000,126100
2018-10-31,2.270000,2.270000,2.190000,2.230000,2.230000,180900
2018-11-01,2.230000,2.300000,2.200000,2.220000,2.220000,208000
2018-11-02,2.230000,2.350000,2.210000,2.290000,2.290000,192800
2018-11-05,2.300000,2.330000,2.230000,2.300000,2.300000,160300
2018-11-06,2.300000,2.310000,2.250000,2.260000,2.260000,108700
2018-11-07,2.250000,2.330000,2.240000,2.330000,2.330000,285200
2018-11-08,2.000000,2.050000,1.920000,1.950000,1.950000,631100
2018-11-09,1.960000,1.970000,1.840000,1.850000,1.850000,296500
2018-11-12,1.830000,1.880000,1.660000,1.660000,1.660000,503500
2018-11-13,1.690000,1.770000,1.670000,1.730000,1.730000,426800
2018-11-14,1.760000,1.760000,1.610000,1.630000,1.630000,351800
2018-11-15,1.610000,1.740000,1.610000,1.730000,1.730000,219500
2018-11-16,1.710000,1.720000,1.610000,1.640000,1.640000,366900
2018-11-19,1.630000,1.650000,1.580000,1.620000,1.620000,216000
2018-11-20,1.580000,1.670000,1.580000,1.660000,1.660000,165100
2018-11-21,1.650000,1.680000,1.630000,1.660000,1.660000,142300
2018-11-23,1.650000,1.770000,1.650000,1.710000,1.710000,127000
2018-11-26,1.760000,1.760000,1.640000,1.650000,1.650000,189600
2018-11-27,1.630000,1.650000,1.600000,1.620000,1.620000,197800
2018-11-28,1.620000,1.720000,1.540000,1.710000,1.710000,575000
2018-11-29,1.710000,1.740000,1.650000,1.690000,1.690000,211300
2018-11-30,1.690000,1.700000,1.630000,1.660000,1.660000,392500
2018-12-03,1.670000,1.700000,1.600000,1.620000,1.620000,214400
2018-12-04,1.630000,1.640000,1.460000,1.500000,1.500000,320200
2018-12-06,1.470000,1.560000,1.470000,1.520000,1.520000,175200
2018-12-07,1.510000,1.560000,1.430000,1.450000,1.450000,196200
2018-12-10,1.460000,1.570000,1.400000,1.410000,1.410000,233200
2018-12-11,1.420000,1.470000,1.400000,1.420000,1.420000,252500
2018-12-12,1.450000,1.500000,1.370000,1.390000,1.390000,326100
2018-12-13,1.400000,1.440000,1.390000,1.430000,1.430000,179800
2018-12-14,1.430000,1.480000,1.400000,1.410000,1.410000,249200
2018-12-17,1.420000,1.500000,1.390000,1.450000,1.450000,259700
2018-12-18,1.410000,1.490000,1.360000,1.380000,1.380000,301200
2018-12-19,1.370000,1.450000,1.350000,1.350000,1.350000,206300
2018-12-20,1.350000,1.400000,1.180000,1.180000,1.180000,1132600
2018-12-21,1.170000,1.250000,0.960000,0.970000,0.970000,1658400
2018-12-24,0.970000,1.060000,0.970000,0.980000,0.980000,605400
2018-12-26,0.980000,1.200000,0.980000,1.100000,1.100000,729500
2018-12-27,1.070000,1.150000,1.070000,1.140000,1.140000,386700
2018-12-28,1.130000,1.150000,1.080000,1.100000,1.100000,406400
2018-12-31,1.090000,1.090000,0.980000,1.000000,1.000000,899500
2019-01-02,1.010000,1.140000,1.010000,1.100000,1.100000,202800
2019-01-03,1.100000,1.110000,1.040000,1.050000,1.050000,161000
2019-01-04,1.080000,1.160000,1.050000,1.140000,1.140000,447300
2019-01-07,1.160000,1.250000,1.160000,1.230000,1.230000,365100
2019-01-08,1.250000,1.320000,1.200000,1.290000,1.290000,697500
2019-01-09,1.310000,1.380000,1.210000,1.270000,1.270000,440400
2019-01-10,1.270000,1.320000,1.220000,1.300000,1.300000,203300
2019-01-11,1.300000,1.450000,1.300000,1.400000,1.400000,483800
2019-01-14,1.400000,1.420000,1.290000,1.290000,1.290000,300800
2019-01-15,1.330000,1.350000,1.230000,1.250000,1.250000,216100
2019-01-16,1.270000,1.370000,1.270000,1.310000,1.310000,164300
2019-01-17,1.310000,1.370000,1.290000,1.300000,1.300000,267600
2019-01-18,1.300000,1.350000,1.290000,1.320000,1.320000,193100
2019-01-22,1.330000,1.330000,1.230000,1.260000,1.260000,291500
2019-01-23,1.260000,1.300000,1.250000,1.260000,1.260000,90700
2019-01-24,1.270000,1.320000,1.260000,1.280000,1.280000,109400
2019-01-25,1.300000,1.370000,1.290000,1.320000,1.320000,186900
2019-01-28,1.320000,1.360000,1.290000,1.300000,1.300000,175500
2019-01-29,1.300000,1.320000,1.260000,1.260000,1.260000,169500
2019-01-30,1.280000,1.350000,1.260000,1.300000,1.300000,209100
2019-01-31,1.300000,1.400000,1.270000,1.380000,1.380000,264100
2019-02-01,1.420000,1.420000,1.300000,1.320000,1.320000,177200
2019-02-04,1.330000,1.380000,1.330000,1.380000,1.380000,179300
2019-02-05,1.390000,1.440000,1.320000,1.330000,1.330000,208500
2019-02-06,1.340000,1.390000,1.340000,1.370000,1.370000,86900
2019-02-07,1.360000,1.370000,1.290000,1.300000,1.300000,123000
2019-02-08,1.290000,1.360000,1.280000,1.310000,1.310000,232100
2019-02-11,1.280000,1.290000,1.060000,1.090000,1.090000,1463000
2019-02-12,1.100000,1.170000,1.070000,1.090000,1.090000,559400
2019-02-13,1.100000,1.180000,1.080000,1.160000,1.160000,515800
2019-02-14,1.130000,1.310000,1.120000,1.290000,1.290000,519100
2019-02-15,1.310000,1.490000,1.230000,1.380000,1.380000,751100
2019-02-19,1.400000,1.660000,1.400000,1.560000,1.560000,809100
2019-02-20,1.560000,1.640000,1.500000,1.520000,1.520000,1263500
2019-02-21,1.540000,1.540000,1.390000,1.450000,1.450000,429600
2019-02-22,1.460000,1.670000,1.430000,1.640000,1.640000,681500
2019-02-25,1.670000,1.700000,1.520000,1.540000,1.540000,426300
2019-02-26,1.530000,1.580000,1.480000,1.530000,1.530000,264900
2019-02-27,1.530000,1.630000,1.450000,1.630000,1.630000,463600
2019-02-28,1.630000,1.640000,1.460000,1.530000,1.530000,405600
2019-03-01,1.550000,1.550000,1.450000,1.480000,1.480000,208900
2019-03-04,1.480000,1.550000,1.460000,1.540000,1.540000,354200
2019-03-05,1.540000,1.580000,1.480000,1.550000,1.550000,233600
2019-03-06,1.570000,1.610000,1.510000,1.590000,1.590000,375900
2019-03-07,1.570000,1.640000,1.530000,1.600000,1.600000,265600
2019-03-08,1.580000,1.700000,1.530000,1.680000,1.680000,565000
2019-03-11,1.700000,1.750000,1.530000,1.650000,1.650000,422600
2019-03-12,1.440000,1.660000,1.410000,1.600000,1.600000,627800
